step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.08,4,8.0,2.0
20.0,-0.35,8,43.0,5.375
25.0,-0.18,5,61.0,12.2
30.0,-0.17000000000000004,6,78.0,13.0
35.0,-0.30000000000000004,6,108.0,18.0
40.0,0.2500000000000001,2,83.0,41.5
45.0,0.17999999999999994,3,65.0,21.666666666666668
50.0,0.53,4,12.0,3.0
55.0,-0.33,8,45.0,5.625
60.0,-0.16999999999999998,6,62.0,10.333333333333334
65.0,-0.32999999999999996,8,95.0,11.875
70.0,0.05999999999999994,4,89.0,22.25
75.0,-0.06999999999999995,4,96.0,24.0
80.0,0.38,2,58.0,29.0
85.0,0.39999999999999997,2,18.0,9.0
90.0,0.0,4,18.0,4.5
95.0,-0.18,4,36.0,9.0
100.0,0.0,5,36.0,7.2
105.0,-0.26,6,62.0,10.333333333333334
110.0,0.16999999999999998,3,45.0,15.0
115.0,0.08000000000000002,4,37.0,9.25
120.0,0.18,0,19.0,0.0
125.0,0.06,5,13.0,2.6
130.0,-0.13,4,26.0,6.5
135.0,-0.2,4,46.0,11.5
140.0,-0.2,4,66.0,16.5
145.0,-0.20999999999999996,5,87.0,17.4
150.0,0.30000000000000004,3,57.0,19.0
155.0,0.31999999999999995,3,25.0,8.333333333333334
160.0,0.07999999999999999,4,17.0,4.25
165.0,-0.35,8,52.0,6.5
170.0,-0.26,8,78.0,9.75
175.0,-0.48,10,126.0,12.6
180.0,0.06000000000000005,5,120.0,24.0
185.0,0.11999999999999988,7,108.0,15.428571428571429
190.0,0.030000000000000027,4,105.0,26.25
195.0,-0.16999999999999993,7,122.0,17.428571428571427
200.0,0.4,4,82.0,20.5
205.0,0.29999999999999993,4,52.0,13.0
210.0,0.13,3,39.0,13.0
215.0,0.19,2,20.0,10.0
220.0,-0.09999999999999998,3,30.0,10.0
225.0,-0.2,4,50.0,12.5
230.0,-0.26,7,76.0,10.857142857142858
235.0,0.08999999999999997,6,67.0,11.166666666666666
240.0,0.10000000000000009,7,57.0,8.142857142857142
245.0,-0.08000000000000007,5,65.0,13.0
250.0,-0.22999999999999998,6,88.0,14.666666666666666
255.0,-0.08999999999999997,4,97.0,24.25
260.0,-0.19999999999999996,4,117.0,29.25
265.0,0.43999999999999995,2,73.0,36.5
270.0,0.45999999999999996,4,27.0,6.75
275.0,0.05000000000000002,3,22.0,7.333333333333333
280.0,-0.16,5,38.0,7.6
285.0,0.16,1,22.0,22.0
290.0,0.04999999999999999,1,17.0,17.0
295.0,0.12000000000000001,2,5.0,2.5
300.0,-0.09999999999999999,2,15.0,7.5
305.0,-0.010000000000000009,5,16.0,3.2
310.0,-0.24000000000000002,5,40.0,8.0
315.0,0.020000000000000018,4,38.0,9.5
320.0,-0.22999999999999998,5,61.0,12.2
325.0,0.22999999999999998,3,38.0,12.666666666666666
330.0,0.0,3,38.0,12.666666666666666
335.0,0.14,3,24.0,8.0
340.0,-0.22999999999999998,6,47.0,7.833333333333333
345.0,0.12999999999999995,2,34.0,17.0
350.0,0.09000000000000002,3,25.0,8.333333333333334
355.0,-0.2,4,45.0,11.25
360.0,0.28,0,17.0,0.0
365.0,0.17,0,0.0,0.0
370.0,-0.08,2,8.0,4.0
375.0,-0.12000000000000001,3,20.0,6.666666666666667
380.0,-0.03999999999999998,4,24.0,6.0
385.0,-0.15000000000000002,5,39.0,7.8
390.0,-0.03999999999999998,4,43.0,10.75
395.0,-0.21000000000000002,5,64.0,12.8
400.0,0.23000000000000004,2,41.0,20.5
405.0,0.20999999999999996,2,20.0,10.0
410.0,-0.18,5,38.0,7.6
415.0,-0.32999999999999996,7,71.0,10.142857142857142
420.0,0.16999999999999993,2,54.0,27.0
425.0,0.17000000000000004,4,37.0,9.25
430.0,-0.19999999999999996,4,57.0,14.25
435.0,0.32999999999999996,0,24.0,0.0
440.0,0.15999999999999998,2,8.0,4.0
445.0,-0.09999999999999999,2,18.0,9.0
450.0,-0.3,8,48.0,6.0
455.0,0.019999999999999962,4,46.0,11.5
460.0,-0.09000000000000002,6,55.0,9.166666666666666
465.0,-0.29999999999999993,6,85.0,14.166666666666666
470.0,0.16000000000000003,4,69.0,17.25
475.0,-0.30000000000000004,6,99.0,16.5
480.0,0.36,2,63.0,31.5
485.0,0.41000000000000003,5,22.0,4.4
490.0,-0.060000000000000026,5,28.0,5.6
495.0,-0.26,6,54.0,9.0
500.0,-0.15999999999999992,4,70.0,17.5
505.0,-0.15000000000000002,4,85.0,21.25
510.0,0.30999999999999994,2,54.0,27.0
515.0,0.37,2,17.0,8.5
520.0,-0.21,8,38.0,4.75
525.0,0.010000000000000009,4,37.0,9.25
530.0,-0.15000000000000002,6,52.0,8.666666666666666
535.0,0.08000000000000002,2,44.0,22.0
540.0,-0.02999999999999997,4,47.0,11.75
545.0,-0.07000000000000006,2,54.0,27.0
550.0,-0.09999999999999998,2,64.0,32.0
