step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.05,4,5.0,1.25
20.0,-0.2,5,25.0,5.0
25.0,-0.30000000000000004,6,55.0,9.166666666666666
30.0,-0.039999999999999925,4,59.0,14.75
35.0,-0.020000000000000018,5,61.0,12.2
40.0,0.18,6,43.0,7.166666666666667
45.0,-0.32,8,75.0,9.375
50.0,0.10999999999999999,4,64.0,16.0
55.0,0.020000000000000018,8,62.0,7.75
60.0,0.08999999999999997,4,53.0,13.25
65.0,-0.030000000000000027,4,56.0,14.0
70.0,0.19000000000000006,2,37.0,18.5
75.0,0.21,3,16.0,5.333333333333333
80.0,0.0,2,16.0,8.0
85.0,-0.04999999999999999,2,21.0,10.5
90.0,0.03999999999999998,5,17.0,3.4
95.0,-0.26,6,43.0,7.166666666666667
100.0,-0.06,4,49.0,12.25
105.0,-0.030000000000000027,4,52.0,13.0
110.0,0.19,5,33.0,6.6
115.0,-0.3,6,63.0,10.5
120.0,0.12,2,51.0,25.5
125.0,0.10999999999999999,5,40.0,8.0
130.0,0.040000000000000036,5,36.0,7.2
135.0,-0.13,5,49.0,9.8
140.0,0.07,3,42.0,14.0
145.0,0.08999999999999997,3,33.0,11.0
150.0,0.13,2,20.0,10.0
155.0,0.03,2,17.0,8.5
160.0,0.08000000000000002,4,9.0,2.25
165.0,-0.4,8,49.0,6.125
170.0,-0.17000000000000004,7,66.0,9.428571428571429
175.0,-0.18999999999999995,7,85.0,12.142857142857142
180.0,0.020000000000000018,7,83.0,11.857142857142858
185.0,-0.41000000000000003,9,124.0,13.777777777777779
190.0,0.15999999999999992,5,108.0,21.6
195.0,0.3900000000000001,9,69.0,7.666666666666667
200.0,0.029999999999999916,6,66.0,11.0
205.0,-0.09999999999999998,8,76.0,9.5
210.0,-0.05999999999999994,4,82.0,20.5
215.0,-0.06000000000000005,4,88.0,22.0
220.0,-0.21000000000000008,5,109.0,21.8
225.0,-0.18999999999999995,4,128.0,32.0
230.0,-0.25,7,153.0,21.857142857142858
235.0,0.3800000000000001,6,115.0,19.166666666666668
240.0,0.6699999999999999,7,48.0,6.857142857142857
245.0,-0.10999999999999999,6,59.0,9.833333333333334
250.0,-0.22000000000000008,6,81.0,13.5
255.0,-0.019999999999999907,4,83.0,20.75
260.0,-0.20000000000000007,5,103.0,20.6
265.0,0.21999999999999997,5,81.0,16.2
270.0,-0.30000000000000004,6,111.0,18.5
275.0,0.5400000000000001,6,57.0,9.5
280.0,-0.37,8,94.0,11.75
285.0,-0.010000000000000009,6,95.0,15.833333333333334
290.0,-0.17000000000000015,6,112.0,18.666666666666668
295.0,0.3700000000000001,2,75.0,37.5
300.0,0.67,0,8.0,0.0
305.0,-0.08,5,16.0,3.2
310.0,-0.19999999999999998,6,36.0,6.0
315.0,-0.31000000000000005,7,67.0,9.571428571428571
320.0,-0.04999999999999993,4,72.0,18.0
325.0,-0.040000000000000036,6,76.0,12.666666666666666
330.0,0.0,4,76.0,19.0
335.0,-0.05999999999999994,4,82.0,20.5
340.0,0.019999999999999907,4,80.0,20.0
345.0,-0.32999999999999985,8,113.0,14.125
350.0,-0.14000000000000012,5,127.0,25.4
355.0,-0.1499999999999999,7,142.0,20.285714285714285
360.0,0.7699999999999999,6,65.0,10.833333333333334
365.0,-0.38,9,103.0,11.444444444444445
370.0,0.09000000000000008,4,94.0,23.5
375.0,0.12,7,82.0,11.714285714285714
380.0,0.07999999999999996,7,74.0,10.571428571428571
385.0,0.07999999999999996,9,66.0,7.333333333333333
390.0,-0.12,6,78.0,13.0
395.0,-0.08999999999999997,7,87.0,12.428571428571429
400.0,0.030000000000000027,8,84.0,10.5
405.0,-0.41000000000000003,9,125.0,13.88888888888889
410.0,0.1399999999999999,5,111.0,22.2
415.0,0.20000000000000007,9,91.0,10.11111111111111
420.0,0.17000000000000004,6,74.0,12.333333333333334
425.0,0.14,5,60.0,12.0
430.0,0.05999999999999994,4,54.0,13.5
435.0,0.050000000000000044,7,49.0,7.0
440.0,0.0,3,49.0,16.333333333333332
445.0,0.06,3,43.0,14.333333333333334
450.0,0.03999999999999998,7,39.0,5.571428571428571
455.0,-0.21999999999999997,9,61.0,6.777777777777778
460.0,-0.20000000000000007,7,81.0,11.571428571428571
465.0,-0.16999999999999993,8,98.0,12.25
470.0,0.020000000000000018,9,96.0,10.666666666666666
475.0,-0.47,10,143.0,14.3
480.0,0.1399999999999999,5,129.0,25.8
485.0,0.45000000000000007,8,84.0,10.5
490.0,0.12,6,72.0,12.0
495.0,-0.010000000000000009,7,73.0,10.428571428571429
500.0,-0.030000000000000027,4,76.0,19.0
505.0,-0.10999999999999999,4,87.0,21.75
510.0,0.28,4,59.0,14.75
515.0,0.27999999999999997,4,31.0,7.75
520.0,-0.07,7,38.0,5.428571428571429
525.0,-0.4,8,78.0,9.75
530.0,0.10999999999999999,4,67.0,16.75
