step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.05,4,5.0,1.25
20.0,-0.2,5,25.0,5.0
25.0,-0.30000000000000004,6,55.0,9.166666666666666
30.0,-0.039999999999999925,4,59.0,14.75
35.0,-0.020000000000000018,5,61.0,12.2
40.0,0.18,6,43.0,7.166666666666667
45.0,-0.32,8,75.0,9.375
50.0,0.10999999999999999,4,64.0,16.0
55.0,0.020000000000000018,8,62.0,7.75
60.0,0.08999999999999997,4,53.0,13.25
65.0,-0.030000000000000027,4,56.0,14.0
70.0,0.19000000000000006,2,37.0,18.5
75.0,0.21,3,16.0,5.333333333333333
80.0,0.0,2,16.0,8.0
85.0,-0.04999999999999999,2,21.0,10.5
90.0,0.03999999999999998,5,17.0,3.4
95.0,-0.26,6,43.0,7.166666666666667
100.0,-0.06,4,49.0,12.25
105.0,-0.030000000000000027,4,52.0,13.0
110.0,0.19,5,33.0,6.6
115.0,-0.3,6,63.0,10.5
120.0,0.12,2,51.0,25.5
125.0,0.10999999999999999,5,40.0,8.0
130.0,0.040000000000000036,5,36.0,7.2
135.0,-0.13,5,49.0,9.8
140.0,0.07,3,42.0,14.0
145.0,0.08999999999999997,3,33.0,11.0
150.0,0.13,2,20.0,10.0
155.0,0.03,2,17.0,8.5
160.0,0.08000000000000002,4,9.0,2.25
165.0,-0.4,8,49.0,6.125
170.0,-0.17000000000000004,7,66.0,9.428571428571429
175.0,-0.18999999999999995,7,85.0,12.142857142857142
180.0,0.020000000000000018,7,83.0,11.857142857142858
185.0,-0.41000000000000003,9,124.0,13.777777777777779
190.0,0.15999999999999992,5,108.0,21.6
195.0,0.3900000000000001,9,69.0,7.666666666666667
200.0,0.029999999999999916,6,66.0,11.0
205.0,-0.09999999999999998,8,76.0,9.5
210.0,-0.05999999999999994,4,82.0,20.5
215.0,-0.06000000000000005,4,88.0,22.0
220.0,0.39,1,49.0,49.0
225.0,0.32999999999999996,3,16.0,5.333333333333333
230.0,0.05,2,11.0,5.5
235.0,-0.38,8,49.0,6.125
240.0,-0.21999999999999997,8,71.0,8.875
245.0,-0.3600000000000001,9,107.0,11.88888888888889
250.0,-0.050000000000000044,8,112.0,14.0
255.0,-0.48,10,160.0,16.0
260.0,0.17000000000000015,7,143.0,20.428571428571427
265.0,0.5199999999999999,6,91.0,15.166666666666666
270.0,0.09999999999999998,7,81.0,11.571428571428571
275.0,-0.039999999999999925,9,85.0,9.444444444444445
280.0,0.0,4,85.0,21.25
285.0,0.06999999999999995,4,78.0,19.5
290.0,0.34,1,44.0,44.0
295.0,0.26,4,18.0,4.5
300.0,-0.04000000000000001,3,22.0,7.333333333333333
305.0,-0.28,7,50.0,7.142857142857143
310.0,-0.030000000000000027,6,53.0,8.833333333333334
315.0,-0.15999999999999992,7,69.0,9.857142857142858
320.0,-0.050000000000000044,4,74.0,18.5
325.0,-0.050000000000000044,6,79.0,13.166666666666666
330.0,0.21000000000000008,6,58.0,9.666666666666666
335.0,-0.37,8,95.0,11.875
340.0,0.07999999999999996,6,87.0,14.5
345.0,0.09999999999999998,8,77.0,9.625
350.0,0.08000000000000007,5,69.0,13.8
355.0,-0.06000000000000005,7,75.0,10.714285714285714
360.0,-0.15000000000000002,4,90.0,22.5
365.0,-0.21000000000000008,6,111.0,18.5
370.0,-0.1499999999999999,4,126.0,31.5
375.0,-0.24,8,150.0,18.75
380.0,0.3400000000000001,6,116.0,19.333333333333332
385.0,0.6399999999999999,5,52.0,10.4
390.0,-0.16999999999999993,8,69.0,8.625
395.0,-0.42000000000000015,10,111.0,11.1
400.0,0.030000000000000027,6,108.0,18.0
405.0,0.08000000000000007,6,100.0,16.666666666666668
410.0,0.18000000000000005,5,82.0,16.4
415.0,-0.13,7,95.0,13.571428571428571
420.0,0.3899999999999999,3,56.0,18.666666666666668
425.0,0.13000000000000006,5,43.0,8.6
430.0,0.07,2,36.0,18.0
435.0,0.03999999999999998,4,32.0,8.0
440.0,0.21000000000000002,0,11.0,0.0
445.0,0.1,1,1.0,1.0
450.0,-0.13999999999999999,4,15.0,3.75
455.0,-0.25,5,40.0,8.0
460.0,-0.07999999999999996,7,48.0,6.857142857142857
465.0,-0.35,7,83.0,11.857142857142858
470.0,0.029999999999999916,5,80.0,16.0
475.0,0.06000000000000005,5,74.0,14.8
480.0,0.33,0,41.0,0.0
485.0,0.36,2,5.0,2.5
490.0,-0.08,3,13.0,4.333333333333333
495.0,-0.09,3,22.0,7.333333333333333
500.0,0.0,3,22.0,7.333333333333333
505.0,-0.13999999999999999,4,36.0,9.0
510.0,0.12999999999999998,2,23.0,11.5
515.0,0.1,2,13.0,6.5
520.0,0.0,5,13.0,2.6
525.0,-0.35,7,48.0,6.857142857142857
530.0,-0.07000000000000006,5,55.0,11.0
535.0,-0.15999999999999992,7,71.0,10.142857142857142
540.0,-0.06000000000000005,5,77.0,15.4
