step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.05,3,5.0,1.6666666666666667
20.0,-0.33,7,38.0,5.428571428571429
25.0,-0.10999999999999999,5,49.0,9.8
30.0,-0.21999999999999997,6,71.0,11.833333333333334
35.0,0.13,2,58.0,29.0
40.0,0.0,4,58.0,14.5
45.0,0.4099999999999999,2,17.0,8.5
50.0,-0.19999999999999998,5,37.0,7.4
55.0,-0.03999999999999998,6,41.0,6.833333333333333
60.0,-0.15000000000000008,6,56.0,9.333333333333334
65.0,0.0,4,56.0,14.0
70.0,-0.2799999999999999,6,84.0,14.0
75.0,-0.14,6,98.0,16.333333333333332
80.0,-0.30000000000000004,6,128.0,21.333333333333332
85.0,0.42000000000000004,2,86.0,43.0
90.0,0.33999999999999997,8,52.0,6.5
95.0,0.06,4,46.0,11.5
100.0,-0.13999999999999996,6,60.0,10.0
105.0,0.09999999999999998,2,50.0,25.0
110.0,0.020000000000000018,4,48.0,12.0
115.0,-0.08000000000000007,2,56.0,28.0
120.0,-0.17999999999999994,4,74.0,18.5
125.0,0.45,6,29.0,4.833333333333333
130.0,-0.32,8,61.0,7.625
135.0,0.020000000000000018,4,59.0,14.75
140.0,-0.22000000000000008,6,81.0,13.5
145.0,-0.09999999999999998,4,91.0,22.75
150.0,-0.21999999999999986,6,113.0,18.833333333333332
155.0,0.41999999999999993,2,71.0,35.5
160.0,0.31999999999999995,8,39.0,4.875
165.0,-0.03999999999999998,4,43.0,10.75
170.0,-0.11000000000000004,5,54.0,10.8
175.0,0.10000000000000003,2,44.0,22.0
180.0,-0.03999999999999998,3,48.0,16.0
185.0,0.37,2,11.0,5.5
190.0,-0.12000000000000001,4,23.0,5.75
195.0,0.09,4,14.0,3.5
200.0,-0.21999999999999997,6,36.0,6.0
205.0,-0.08000000000000002,4,44.0,11.0
210.0,-0.21000000000000002,5,65.0,13.0
215.0,0.19,2,46.0,23.0
220.0,0.19,6,27.0,4.5
225.0,0.030000000000000027,2,24.0,12.0
230.0,-0.040000000000000036,5,28.0,5.6
235.0,-0.019999999999999962,6,30.0,5.0
240.0,-0.24000000000000005,7,54.0,7.714285714285714
245.0,-0.09999999999999998,6,64.0,10.666666666666666
250.0,-0.10999999999999999,6,75.0,12.5
255.0,-0.06999999999999995,6,82.0,13.666666666666666
260.0,-0.2600000000000001,6,108.0,18.0
265.0,0.17000000000000004,2,91.0,45.5
270.0,0.010000000000000009,5,90.0,18.0
275.0,0.5800000000000001,6,32.0,5.333333333333333
280.0,-0.34,8,66.0,8.25
285.0,-0.16999999999999993,6,83.0,13.833333333333334
290.0,-0.31999999999999995,8,115.0,14.375
295.0,-0.020000000000000018,4,117.0,29.25
300.0,-0.1100000000000001,4,128.0,32.0
305.0,0.4,6,88.0,14.666666666666666
310.0,0.48,5,40.0,8.0
315.0,-0.08999999999999997,7,49.0,7.0
320.0,-0.33999999999999997,7,83.0,11.857142857142858
325.0,0.0,4,83.0,20.75
330.0,-0.09000000000000008,4,92.0,23.0
335.0,0.21000000000000008,4,71.0,17.75
340.0,-0.26,6,97.0,16.166666666666668
345.0,-0.050000000000000044,4,102.0,25.5
350.0,-0.19999999999999996,4,122.0,30.5
355.0,0.74,5,48.0,9.6
360.0,-0.30000000000000004,6,78.0,13.0
365.0,-0.16999999999999993,6,95.0,15.833333333333334
370.0,-0.30000000000000004,6,125.0,20.833333333333332
375.0,0.41000000000000003,5,84.0,16.8
380.0,0.41,8,43.0,5.375
385.0,-0.27999999999999997,8,71.0,8.875
390.0,-0.52,11,123.0,11.181818181818182
395.0,-0.1200000000000001,7,135.0,19.285714285714285
400.0,-0.19999999999999996,9,155.0,17.22222222222222
405.0,0.010000000000000009,5,154.0,30.8
410.0,0.030000000000000027,6,151.0,25.166666666666668
415.0,0.3899999999999999,5,112.0,22.4
420.0,0.6700000000000002,5,45.0,9.0
425.0,0.10000000000000003,3,35.0,11.666666666666666
430.0,0.009999999999999953,3,34.0,11.333333333333334
435.0,-0.18,4,52.0,13.0
440.0,0.26,0,26.0,0.0
445.0,0.25,1,1.0,1.0
450.0,-0.21,7,22.0,3.142857142857143
455.0,-0.35,7,57.0,8.142857142857142
460.0,-0.17000000000000004,7,74.0,10.571428571428571
465.0,-0.31000000000000005,7,105.0,15.0
470.0,-0.020000000000000018,4,107.0,26.75
475.0,-0.06999999999999984,4,114.0,28.5
480.0,0.45999999999999985,2,68.0,34.0
485.0,0.4600000000000001,4,22.0,5.5
490.0,-0.04000000000000001,4,26.0,6.5
495.0,-0.21999999999999997,6,48.0,8.0
500.0,0.09999999999999998,2,38.0,19.0
505.0,0.0,2,38.0,19.0
510.0,0.36,1,2.0,2.0
515.0,-0.09,2,11.0,5.5
520.0,-0.22000000000000003,7,33.0,4.714285714285714
525.0,-0.04999999999999999,4,38.0,9.5
530.0,-0.09999999999999998,4,48.0,12.0
535.0,0.06,4,42.0,10.5
