step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.05,3,5.0,1.6666666666666667
20.0,-0.33,7,38.0,5.428571428571429
25.0,-0.10999999999999999,5,49.0,9.8
30.0,-0.21999999999999997,6,71.0,11.833333333333334
35.0,0.13,2,58.0,29.0
40.0,0.0,4,58.0,14.5
45.0,0.4099999999999999,2,17.0,8.5
50.0,-0.19999999999999998,5,37.0,7.4
55.0,-0.03999999999999998,6,41.0,6.833333333333333
60.0,-0.15000000000000008,6,56.0,9.333333333333334
65.0,0.0,4,56.0,14.0
70.0,-0.2799999999999999,6,84.0,14.0
75.0,-0.14,6,98.0,16.333333333333332
80.0,-0.30000000000000004,6,128.0,21.333333333333332
85.0,0.42000000000000004,2,86.0,43.0
90.0,0.33999999999999997,8,52.0,6.5
95.0,0.06,4,46.0,11.5
100.0,-0.13999999999999996,6,60.0,10.0
105.0,0.09999999999999998,2,50.0,25.0
110.0,0.020000000000000018,4,48.0,12.0
115.0,-0.08000000000000007,2,56.0,28.0
120.0,-0.17999999999999994,4,74.0,18.5
125.0,0.45,6,29.0,4.833333333333333
130.0,-0.32,8,61.0,7.625
135.0,0.020000000000000018,4,59.0,14.75
140.0,-0.22000000000000008,6,81.0,13.5
145.0,-0.09999999999999998,4,91.0,22.75
150.0,-0.21999999999999986,6,113.0,18.833333333333332
155.0,0.41999999999999993,2,71.0,35.5
160.0,0.31999999999999995,8,39.0,4.875
165.0,-0.03999999999999998,4,43.0,10.75
170.0,-0.11000000000000004,5,54.0,10.8
175.0,0.10000000000000003,2,44.0,22.0
180.0,-0.03999999999999998,3,48.0,16.0
185.0,0.37,2,11.0,5.5
190.0,-0.12000000000000001,4,23.0,5.75
195.0,0.09,4,14.0,3.5
200.0,-0.21999999999999997,6,36.0,6.0
205.0,-0.08000000000000002,4,44.0,11.0
210.0,-0.21000000000000002,5,65.0,13.0
215.0,-0.18999999999999995,4,84.0,21.0
220.0,-0.2500000000000001,6,109.0,18.166666666666668
225.0,0.3700000000000001,2,72.0,36.0
230.0,0.43999999999999995,5,28.0,5.6
235.0,0.010000000000000009,4,27.0,6.75
240.0,-0.13,4,40.0,10.0
245.0,-0.009999999999999953,4,41.0,10.25
250.0,-0.14000000000000007,4,55.0,13.75
255.0,0.29000000000000004,4,26.0,6.5
260.0,-0.2,4,46.0,11.5
265.0,0.19,2,27.0,13.5
270.0,0.0,5,27.0,5.4
275.0,-0.04999999999999999,4,32.0,8.0
280.0,-0.2,5,52.0,10.4
285.0,-0.25,5,77.0,15.4
290.0,0.25,2,52.0,26.0
295.0,0.14,5,38.0,7.6
300.0,0.09999999999999998,2,28.0,14.0
305.0,-0.22999999999999998,9,51.0,5.666666666666667
310.0,-0.07999999999999996,6,59.0,9.833333333333334
315.0,-0.20000000000000007,8,79.0,9.875
320.0,-0.020000000000000018,6,81.0,13.5
325.0,-0.3699999999999999,9,118.0,13.11111111111111
330.0,-0.13000000000000012,6,131.0,21.833333333333332
335.0,-0.28,8,159.0,19.875
340.0,0.3600000000000001,5,123.0,24.6
345.0,0.47,6,76.0,12.666666666666666
350.0,0.26,2,50.0,25.0
355.0,0.24,4,26.0,6.5
360.0,-0.2,4,46.0,11.5
365.0,0.050000000000000044,2,41.0,20.5
370.0,-0.12000000000000005,3,53.0,17.666666666666668
375.0,0.41000000000000003,2,12.0,6.0
380.0,-0.22000000000000003,6,34.0,5.666666666666667
385.0,0.0,3,34.0,11.333333333333334
390.0,-0.14999999999999997,5,49.0,9.8
395.0,0.08999999999999997,4,40.0,10.0
400.0,-0.2899999999999999,7,69.0,9.857142857142858
405.0,0.17999999999999994,3,51.0,17.0
410.0,0.09000000000000002,6,42.0,7.0
415.0,0.08999999999999997,5,33.0,6.6
420.0,-0.09999999999999998,5,43.0,8.6
425.0,-0.3,7,73.0,10.428571428571429
430.0,-0.08999999999999997,4,82.0,20.5
435.0,-0.15000000000000002,4,97.0,24.25
440.0,0.39,2,58.0,29.0
445.0,0.39999999999999997,3,18.0,6.0
450.0,0.0,4,18.0,4.5
455.0,-0.16999999999999998,4,35.0,8.75
460.0,0.03999999999999998,4,31.0,7.75
465.0,-0.2,4,51.0,12.75
470.0,0.21000000000000002,2,30.0,15.0
475.0,0.13999999999999999,2,16.0,8.0
480.0,0.15,0,1.0,0.0
485.0,-0.13,6,14.0,2.3333333333333335
490.0,-0.14999999999999997,4,29.0,7.25
495.0,-0.2,4,49.0,12.25
500.0,-0.19999999999999996,4,69.0,17.25
505.0,-0.20000000000000007,4,89.0,22.25
510.0,0.28,3,61.0,20.333333333333332
515.0,0.29,4,32.0,8.0
520.0,-0.12,7,44.0,6.285714285714286
525.0,-0.43,9,87.0,9.666666666666666
530.0,0.05999999999999994,6,81.0,13.5
535.0,-0.06999999999999995,6,88.0,14.666666666666666
540.0,0.12,5,76.0,15.2
545.0,-0.3600000000000001,8,112.0,14.0
