step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.03,2,3.0,1.5
20.0,-0.31000000000000005,7,34.0,4.857142857142857
25.0,-0.12999999999999995,4,47.0,11.75
30.0,-0.21999999999999997,6,69.0,11.5
35.0,0.1299999999999999,3,56.0,18.666666666666668
40.0,-0.04999999999999993,4,61.0,15.25
45.0,0.4,2,21.0,10.5
50.0,-0.19999999999999998,4,41.0,10.25
55.0,0.06,5,35.0,7.0
60.0,-0.16000000000000003,8,51.0,6.375
65.0,-0.05999999999999994,4,57.0,14.25
70.0,-0.21000000000000008,6,78.0,13.0
75.0,-0.13,5,91.0,18.2
80.0,-0.2499999999999999,5,116.0,23.2
85.0,0.43999999999999995,3,72.0,24.0
90.0,0.3,7,42.0,6.0
95.0,-0.030000000000000027,4,45.0,11.25
100.0,-0.15999999999999998,6,61.0,10.166666666666666
105.0,0.08999999999999997,5,52.0,10.4
110.0,-0.29999999999999993,6,82.0,13.666666666666666
115.0,0.22999999999999998,3,59.0,19.666666666666668
120.0,0.39999999999999997,2,19.0,9.5
125.0,0.03,5,16.0,3.2
130.0,-0.30000000000000004,7,46.0,6.571428571428571
135.0,-0.08000000000000002,5,54.0,10.8
140.0,-0.15999999999999992,5,70.0,14.0
145.0,-0.26,6,96.0,16.0
150.0,-0.1200000000000001,4,108.0,27.0
155.0,-0.15999999999999992,4,124.0,31.0
160.0,0.42000000000000004,5,82.0,16.4
165.0,0.49999999999999994,4,32.0,8.0
170.0,-0.02999999999999997,4,35.0,8.75
175.0,-0.29000000000000004,6,64.0,10.666666666666666
180.0,0.16000000000000003,4,48.0,12.0
185.0,-0.30000000000000004,6,78.0,13.0
190.0,0.12,3,66.0,22.0
195.0,-0.06999999999999995,6,73.0,12.166666666666666
200.0,0.33999999999999997,3,39.0,13.0
205.0,-0.03999999999999998,4,43.0,10.75
210.0,0.19,2,24.0,12.0
215.0,0.06999999999999998,2,17.0,8.5
220.0,-0.15,4,32.0,8.0
225.0,-0.27999999999999997,6,60.0,10.0
230.0,0.16999999999999998,5,43.0,8.6
235.0,-0.24000000000000005,10,67.0,6.7
240.0,-0.30999999999999994,9,98.0,10.88888888888889
245.0,-0.52,12,150.0,12.5
250.0,0.020000000000000018,7,148.0,21.142857142857142
255.0,0.25,7,123.0,17.571428571428573
260.0,-0.050000000000000044,5,128.0,25.6
265.0,-0.20999999999999996,7,149.0,21.285714285714285
270.0,0.3899999999999999,6,110.0,18.333333333333332
275.0,0.5300000000000001,6,57.0,9.5
280.0,0.019999999999999907,6,55.0,9.166666666666666
285.0,0.010000000000000009,5,54.0,10.8
290.0,0.07000000000000006,3,47.0,15.666666666666666
295.0,-0.15000000000000002,5,62.0,12.4
300.0,0.27,3,35.0,11.666666666666666
305.0,-0.31000000000000005,9,66.0,7.333333333333333
310.0,0.06000000000000005,4,60.0,15.0
315.0,0.06999999999999995,6,53.0,8.833333333333334
320.0,0.08000000000000002,2,45.0,22.5
325.0,-0.06,4,51.0,12.75
330.0,0.36,2,15.0,7.5
335.0,-0.16,4,31.0,7.75
340.0,0.09,4,22.0,5.5
345.0,-0.18000000000000002,6,40.0,6.666666666666667
350.0,-0.04999999999999999,4,45.0,11.25
355.0,-0.23000000000000004,5,68.0,13.6
360.0,-0.16999999999999993,4,85.0,21.25
365.0,-0.2500000000000001,6,110.0,18.333333333333332
370.0,0.3900000000000001,2,71.0,35.5
375.0,0.41,5,30.0,6.0
380.0,-0.030000000000000027,5,33.0,6.6
385.0,-0.2,7,53.0,7.571428571428571
390.0,-0.04999999999999993,5,58.0,11.6
395.0,-0.29000000000000004,7,87.0,12.428571428571429
400.0,0.18000000000000005,3,69.0,23.0
405.0,0.25999999999999995,3,43.0,14.333333333333334
410.0,0.08999999999999997,1,34.0,34.0
415.0,-0.19,5,53.0,10.6
420.0,0.23000000000000004,2,30.0,15.0
425.0,0.04999999999999999,4,25.0,6.25
430.0,0.06,2,19.0,9.5
435.0,-0.08000000000000002,3,27.0,9.0
440.0,0.2,0,7.0,0.0
445.0,0.07,0,0.0,0.0
450.0,-0.26,8,26.0,3.25
455.0,-0.25,6,51.0,8.5
460.0,-0.42000000000000004,10,93.0,9.3
465.0,-0.08999999999999997,6,102.0,17.0
470.0,-0.16999999999999993,7,119.0,17.0
475.0,-0.030000000000000027,5,122.0,24.4
480.0,-0.20999999999999996,7,143.0,20.428571428571427
485.0,0.3799999999999999,4,105.0,26.25
490.0,0.65,4,40.0,10.0
495.0,0.25,1,15.0,15.0
500.0,0.04999999999999999,2,10.0,5.0
505.0,-0.13,4,23.0,5.75
510.0,-0.26,6,49.0,8.166666666666666
515.0,0.14,2,35.0,17.5
520.0,-0.010000000000000009,8,36.0,4.5
525.0,-0.35,8,71.0,8.875
530.0,-0.45999999999999996,10,117.0,11.7
535.0,0.020000000000000018,6,115.0,19.166666666666668
540.0,0.1299999999999999,6,102.0,17.0
