step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.03,2,3.0,1.5
20.0,-0.31000000000000005,7,34.0,4.857142857142857
25.0,-0.12999999999999995,4,47.0,11.75
30.0,-0.21999999999999997,6,69.0,11.5
35.0,0.1299999999999999,3,56.0,18.666666666666668
40.0,-0.04999999999999993,4,61.0,15.25
45.0,0.4,2,21.0,10.5
50.0,-0.19999999999999998,4,41.0,10.25
55.0,0.06,5,35.0,7.0
60.0,-0.16000000000000003,8,51.0,6.375
65.0,-0.05999999999999994,4,57.0,14.25
70.0,-0.21000000000000008,6,78.0,13.0
75.0,-0.32000000000000006,7,110.0,15.714285714285714
80.0,-0.44999999999999996,9,155.0,17.22222222222222
85.0,-0.040000000000000036,7,159.0,22.714285714285715
90.0,-0.3899999999999999,13,198.0,15.23076923076923
95.0,-0.33000000000000007,10,231.0,23.1
100.0,-0.43999999999999995,12,275.0,22.916666666666668
105.0,0.5299999999999998,6,222.0,37.0
110.0,1.0600000000000003,6,116.0,19.333333333333332
115.0,-0.08000000000000007,6,124.0,20.666666666666668
120.0,-0.15999999999999992,6,140.0,23.333333333333332
125.0,-0.13000000000000012,7,153.0,21.857142857142858
130.0,-0.3899999999999999,9,192.0,21.333333333333332
135.0,0.3799999999999999,5,154.0,30.8
140.0,0.1100000000000001,7,143.0,20.428571428571427
145.0,0.0,4,143.0,35.75
150.0,-0.13000000000000012,5,156.0,31.2
155.0,0.07000000000000006,2,149.0,74.5
160.0,-0.1200000000000001,8,161.0,20.125
165.0,1.1600000000000001,6,45.0,7.5
170.0,-0.23999999999999994,8,69.0,8.625
175.0,-0.1200000000000001,6,81.0,13.5
180.0,-0.21999999999999997,6,103.0,17.166666666666668
185.0,-0.030000000000000027,4,106.0,26.5
190.0,-0.17999999999999994,6,124.0,20.666666666666668
195.0,0.42000000000000004,3,82.0,27.333333333333332
200.0,0.44999999999999996,6,37.0,6.166666666666667
205.0,0.06,3,31.0,10.333333333333334
210.0,-0.12,4,43.0,10.75
215.0,0.26,0,17.0,0.0
220.0,0.17,0,0.0,0.0
225.0,-0.09,2,9.0,4.5
230.0,-0.11000000000000001,3,20.0,6.666666666666667
235.0,-0.41,10,61.0,6.1
240.0,-0.07000000000000006,6,68.0,11.333333333333334
245.0,-0.16999999999999993,8,85.0,10.625
250.0,0.010000000000000009,4,84.0,21.0
255.0,-0.14,5,98.0,19.6
260.0,0.31999999999999995,2,66.0,33.0
265.0,0.39,4,27.0,6.75
270.0,0.13,2,14.0,7.0
275.0,-0.06,3,20.0,6.666666666666667
280.0,-0.2,5,40.0,8.0
285.0,0.11000000000000004,1,29.0,29.0
290.0,0.04999999999999999,2,24.0,12.0
295.0,0.10999999999999999,3,13.0,4.333333333333333
300.0,-0.15000000000000002,3,28.0,9.333333333333334
305.0,0.05000000000000002,5,23.0,4.6
310.0,-0.33000000000000007,7,56.0,8.0
315.0,0.0,4,56.0,14.0
320.0,-0.07999999999999996,4,64.0,16.0
325.0,0.22000000000000003,3,42.0,14.0
330.0,-0.23000000000000004,5,65.0,13.0
335.0,-0.24,6,89.0,14.833333333333334
340.0,-0.41000000000000003,10,130.0,13.0
345.0,0.28,6,102.0,17.0
350.0,-0.06000000000000005,7,108.0,15.428571428571429
355.0,0.2500000000000001,4,83.0,20.75
360.0,0.57,3,26.0,8.666666666666666
365.0,0.14,2,12.0,6.0
370.0,-0.1,3,22.0,7.333333333333333
375.0,0.09,2,13.0,6.5
380.0,-0.24,7,37.0,5.285714285714286
385.0,-0.16000000000000003,5,53.0,10.6
390.0,-0.4,8,93.0,11.625
395.0,-0.07999999999999996,7,101.0,14.428571428571429
400.0,-0.27,7,128.0,18.285714285714285
405.0,0.29000000000000004,5,99.0,19.8
410.0,0.28,6,71.0,11.833333333333334
415.0,0.20999999999999996,3,50.0,16.666666666666668
420.0,0.3,2,20.0,10.0
425.0,0.16,0,4.0,0.0
430.0,-0.030000000000000006,2,7.0,3.5
435.0,0.05,1,2.0,2.0
440.0,-0.08,2,10.0,5.0
445.0,0.1,0,0.0,0.0
450.0,-0.28,8,28.0,3.5
455.0,-0.24,6,52.0,8.666666666666666
460.0,-0.41000000000000003,10,93.0,9.3
465.0,-0.08999999999999997,6,102.0,17.0
470.0,-0.16999999999999993,6,119.0,19.833333333333332
475.0,-0.010000000000000009,4,120.0,30.0
480.0,-0.18999999999999995,5,139.0,27.8
485.0,0.3999999999999999,4,99.0,24.75
490.0,0.6499999999999999,4,34.0,8.5
495.0,0.13000000000000003,2,21.0,10.5
500.0,-0.03,3,24.0,8.0
505.0,0.06999999999999998,1,17.0,17.0
510.0,-0.1,3,27.0,9.0
515.0,0.12000000000000002,2,15.0,7.5
520.0,-0.21,8,36.0,4.5
525.0,-0.27,6,63.0,10.5
530.0,-0.33999999999999997,8,97.0,12.125
535.0,-0.040000000000000036,6,101.0,16.833333333333332
