step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.02,2,2.0,1.0
20.0,-0.36,9,38.0,4.222222222222222
25.0,-0.22999999999999998,6,61.0,10.166666666666666
30.0,-0.32999999999999996,8,94.0,11.75
35.0,0.019999999999999907,4,92.0,23.0
40.0,-0.09999999999999998,6,102.0,17.0
45.0,0.33000000000000007,2,69.0,34.5
50.0,0.32999999999999996,4,36.0,9.0
55.0,0.12999999999999998,2,23.0,11.5
60.0,0.06,2,17.0,8.5
65.0,0.13,0,4.0,0.0
70.0,-0.04,2,8.0,4.0
75.0,0.07,1,1.0,1.0
80.0,-0.1,2,11.0,5.5
85.0,0.11,0,0.0,0.0
90.0,-0.23,7,23.0,3.2857142857142856
95.0,-0.19999999999999998,6,43.0,7.166666666666667
100.0,-0.41,10,84.0,8.4
105.0,-0.10999999999999999,6,95.0,15.833333333333334
110.0,-0.18999999999999995,7,114.0,16.285714285714285
115.0,-0.010000000000000009,4,115.0,28.75
120.0,-0.19000000000000017,6,134.0,22.333333333333332
125.0,0.40000000000000013,4,94.0,23.5
130.0,0.5999999999999999,4,34.0,8.5
135.0,0.16000000000000003,2,18.0,9.0
140.0,-0.020000000000000018,3,20.0,6.666666666666667
145.0,0.06,1,14.0,14.0
150.0,-0.04999999999999999,1,19.0,19.0
155.0,0.09,2,10.0,5.0
160.0,-0.17,6,27.0,4.5
165.0,-0.06,4,33.0,8.25
170.0,-0.13999999999999996,5,47.0,9.4
175.0,0.03999999999999998,2,43.0,21.5
180.0,-0.030000000000000027,3,46.0,15.333333333333334
185.0,-0.09000000000000002,2,55.0,27.5
190.0,-0.09999999999999998,2,65.0,32.5
195.0,0.5700000000000001,4,8.0,2.0
200.0,-0.27999999999999997,7,36.0,5.142857142857143
205.0,-0.19000000000000006,6,55.0,9.166666666666666
210.0,-0.31999999999999995,8,87.0,10.875
215.0,0.07999999999999996,4,79.0,19.75
220.0,0.10000000000000009,7,69.0,9.857142857142858
225.0,0.16999999999999993,2,52.0,26.0
230.0,0.25,7,27.0,3.857142857142857
235.0,-0.15999999999999998,7,43.0,6.142857142857143
240.0,-0.26999999999999996,7,70.0,10.0
245.0,-0.1100000000000001,7,81.0,11.571428571428571
250.0,-0.3599999999999999,8,117.0,14.625
255.0,-0.08000000000000007,6,125.0,20.833333333333332
260.0,-0.09000000000000008,6,134.0,22.333333333333332
265.0,0.45000000000000007,2,89.0,44.5
270.0,0.46,4,43.0,10.75
275.0,0.22999999999999998,3,20.0,6.666666666666667
280.0,-0.009999999999999981,3,21.0,7.0
285.0,0.07999999999999999,1,13.0,13.0
290.0,-0.03,1,16.0,16.0
295.0,-0.15,3,31.0,10.333333333333334
300.0,-0.15000000000000002,3,46.0,15.333333333333334
305.0,-0.03999999999999998,7,50.0,7.142857142857143
310.0,-0.33999999999999997,7,84.0,12.0
315.0,0.20999999999999996,4,63.0,15.75
320.0,0.050000000000000044,6,58.0,9.666666666666666
325.0,0.10999999999999999,2,47.0,23.5
330.0,0.07999999999999996,4,39.0,9.75
335.0,0.2,2,19.0,9.5
340.0,-0.03,5,22.0,4.4
345.0,-0.12000000000000002,3,34.0,11.333333333333334
350.0,-0.13999999999999996,5,48.0,9.6
355.0,0.18,2,30.0,15.0
360.0,0.07999999999999999,2,22.0,11.0
365.0,0.16,2,6.0,3.0
370.0,-0.06,2,12.0,6.0
375.0,0.06999999999999999,4,5.0,1.25
380.0,-0.34,7,39.0,5.571428571428571
385.0,-0.14,5,53.0,10.6
390.0,-0.35,7,88.0,12.571428571428571
395.0,-0.040000000000000036,6,92.0,15.333333333333334
400.0,-0.21999999999999986,6,114.0,19.0
405.0,0.34999999999999987,4,79.0,19.75
410.0,0.34,5,45.0,9.0
415.0,0.16999999999999998,2,28.0,14.0
420.0,0.08000000000000002,2,20.0,10.0
425.0,0.17,1,3.0,3.0
430.0,-0.06,2,9.0,4.5
435.0,0.08,1,1.0,1.0
440.0,-0.049999999999999996,1,6.0,6.0
445.0,0.049999999999999996,1,1.0,1.0
450.0,-0.25,8,26.0,3.25
455.0,-0.21999999999999997,6,48.0,8.0
460.0,-0.41000000000000003,10,89.0,8.9
465.0,-0.08999999999999997,6,98.0,16.333333333333332
470.0,-0.18999999999999995,7,117.0,16.714285714285715
475.0,-0.010000000000000009,4,118.0,29.5
480.0,-0.19999999999999996,6,138.0,23.0
485.0,0.41999999999999993,4,96.0,24.0
490.0,0.6599999999999999,4,30.0,7.5
495.0,0.18,1,12.0,12.0
500.0,-0.010000000000000009,2,13.0,6.5
505.0,0.13,0,0.0,0.0
510.0,-0.04,2,4.0,2.0
515.0,-0.1,2,14.0,7.0
520.0,-0.21999999999999997,7,36.0,5.142857142857143
525.0,-0.020000000000000018,4,38.0,9.5
530.0,-0.12,4,50.0,12.5
535.0,0.09999999999999998,2,40.0,20.0
540.0,-0.07999999999999996,3,48.0,16.0
