step_time,reward,total_stopped,total_wait_time,average_wait_time
5.0,0.0,0,0.0,0.0
10.0,0.0,0,0.0,0.0
15.0,-0.05,5,5.0,1.0
20.0,-0.35000000000000003,7,40.0,5.714285714285714
25.0,-0.15000000000000002,6,55.0,9.166666666666666
30.0,-0.33999999999999997,7,89.0,12.714285714285714
35.0,-0.4,9,129.0,14.333333333333334
40.0,-0.44999999999999996,9,174.0,19.333333333333332
45.0,-0.51,11,225.0,20.454545454545453
50.0,0.2200000000000002,5,203.0,40.6
55.0,0.6099999999999999,8,142.0,17.75
60.0,0.5399999999999999,8,88.0,11.0
65.0,-0.5299999999999999,13,141.0,10.846153846153847
70.0,-0.2100000000000002,9,162.0,18.0
75.0,-0.17999999999999994,10,180.0,18.0
80.0,0.10000000000000009,7,170.0,24.285714285714285
85.0,0.08999999999999986,10,161.0,16.1
90.0,-0.4099999999999999,11,202.0,18.363636363636363
95.0,-0.43999999999999995,11,246.0,22.363636363636363
100.0,-0.5300000000000002,12,299.0,24.916666666666668
105.0,-0.5999999999999996,12,359.0,29.916666666666668
110.0,0.54,10,305.0,30.5
115.0,1.64,4,141.0,35.25
120.0,0.32999999999999985,7,108.0,15.428571428571429
125.0,-0.5499999999999998,14,163.0,11.642857142857142
130.0,-0.09000000000000008,11,172.0,15.636363636363637
135.0,0.030000000000000027,11,169.0,15.363636363636363
140.0,-0.52,12,221.0,18.416666666666668
145.0,-0.6499999999999999,13,286.0,22.0
150.0,-0.8400000000000003,17,370.0,21.764705882352942
155.0,0.18000000000000016,11,352.0,32.0
160.0,0.7400000000000002,15,278.0,18.533333333333335
165.0,-0.4500000000000002,15,323.0,21.533333333333335
170.0,-0.9300000000000002,20,416.0,20.8
175.0,-0.39999999999999947,16,456.0,28.5
180.0,-0.17000000000000082,17,473.0,27.823529411764707
185.0,0.040000000000000036,11,469.0,42.63636363636363
190.0,0.5200000000000005,9,417.0,46.333333333333336
195.0,1.0299999999999998,8,314.0,39.25
200.0,2.13,7,101.0,14.428571428571429
205.0,0.29000000000000004,7,72.0,10.285714285714286
210.0,-0.3700000000000001,11,109.0,9.909090909090908
215.0,-0.020000000000000018,5,111.0,22.2
220.0,0.29000000000000015,5,82.0,16.4
225.0,-0.35,9,117.0,13.0
230.0,-0.5,12,167.0,13.916666666666666
235.0,-0.050000000000000044,11,172.0,15.636363636363637
240.0,0.22999999999999998,11,149.0,13.545454545454545
245.0,-0.6100000000000001,14,210.0,15.0
250.0,-0.71,15,281.0,18.733333333333334
255.0,-0.6699999999999999,17,348.0,20.470588235294116
260.0,-0.8699999999999997,19,435.0,22.894736842105264
265.0,-0.03000000000000025,17,438.0,25.764705882352942
270.0,0.45999999999999996,17,392.0,23.058823529411764
275.0,0.29000000000000004,12,363.0,30.25
280.0,1.4299999999999997,9,220.0,24.444444444444443
285.0,-0.09999999999999964,10,230.0,23.0
290.0,-0.6900000000000004,16,299.0,18.6875
295.0,-0.3099999999999996,14,330.0,23.571428571428573
300.0,-0.0900000000000003,14,339.0,24.214285714285715
305.0,-0.009999999999999787,17,340.0,20.0
310.0,0.54,12,286.0,23.833333333333332
315.0,0.6000000000000001,7,226.0,32.285714285714285
320.0,0.7499999999999998,11,151.0,13.727272727272727
325.0,-0.06000000000000005,14,157.0,11.214285714285714
330.0,-0.7,14,227.0,16.214285714285715
335.0,-0.75,16,302.0,18.875
340.0,-0.54,17,356.0,20.941176470588236
345.0,-0.8999999999999999,18,446.0,24.77777777777778
350.0,-0.9900000000000002,21,545.0,25.952380952380953
355.0,-1.1399999999999997,23,659.0,28.652173913043477
360.0,0.0,19,659.0,34.68421052631579
365.0,1.29,12,530.0,44.166666666666664
370.0,-0.6900000000000004,16,599.0,37.4375
375.0,-1.0599999999999996,24,705.0,29.375
380.0,-1.1700000000000008,24,822.0,34.25
385.0,-1.3099999999999987,28,953.0,34.035714285714285
390.0,-0.33000000000000007,22,986.0,44.81818181818182
395.0,0.4399999999999995,18,942.0,52.333333333333336
400.0,-0.7200000000000006,20,1014.0,50.7
405.0,-1.17,26,1131.0,43.5
410.0,-0.7699999999999996,24,1208.0,50.333333333333336
415.0,-0.5099999999999998,24,1259.0,52.458333333333336
420.0,-0.9100000000000001,24,1350.0,56.25
425.0,-1.1300000000000008,26,1463.0,56.26923076923077
430.0,1.2100000000000009,23,1342.0,58.34782608695652
435.0,4.390000000000001,14,903.0,64.5
440.0,0.009999999999999787,2,902.0,451.0
445.0,0.2599999999999998,7,876.0,125.14285714285714
450.0,1.3999999999999995,13,736.0,56.61538461538461
455.0,2.5600000000000005,11,480.0,43.63636363636363
460.0,0.3799999999999999,9,442.0,49.111111111111114
465.0,-0.6600000000000001,16,508.0,31.75
470.0,-0.5099999999999998,19,559.0,29.42105263157895
475.0,-0.6600000000000001,21,625.0,29.761904761904763
480.0,-1.21,25,746.0,29.84
485.0,-0.54,19,800.0,42.10526315789474
490.0,-0.22000000000000064,20,822.0,41.1
